number,value,datetime_start,datetime_complete,duration,params_fill_strategy,params_freq_ratio,params_n_lags,params_reg_enet_l1,params_regression_model,params_selector,params_step_size,params_train_window,user_attrs_error_message,user_attrs_eval_mode,user_attrs_fill_strategy,user_attrs_freq_ratio,user_attrs_lf_freq,user_attrs_mae,user_attrs_mape,user_attrs_model,user_attrs_n_eval_points,user_attrs_n_features_input,user_attrs_n_features_used,user_attrs_n_folds,user_attrs_n_lags,user_attrs_n_model_used_vars,user_attrs_n_raw_features,user_attrs_n_sel_features,user_attrs_n_trans_features,user_attrs_regression_model,user_attrs_regression_params,user_attrs_rmse,user_attrs_runtime_sec,user_attrs_seed,user_attrs_selector_method,user_attrs_selector_params,user_attrs_status,user_attrs_step_size,user_attrs_train_window,user_attrs_window_type,state
0,,2026-04-21 11:04:27.353255,2026-04-21 11:04:38.741202,0 days 00:00:11.387947,ffill_then_zero,auto,6,,lasso,none,1,80,,,,,,,,MIDAS,,,,,,,,,,,,,,,none,,,,,,FAIL
1,,2026-04-21 11:04:27.356259,2026-04-21 11:04:33.171713,0 days 00:00:05.815454,ffill_then_zero,auto,4,,lasso,none,3,60,Backtester returned empty DataFrame,mixed_frequency,ffill_then_zero,auto,QE,,,MIDAS,,145.0,,,4.0,,,,,lasso,{},,0.0,123.0,none,{},failed,3.0,60.0,expanding,PRUNED
2,,2026-04-21 11:04:27.470007,2026-04-21 11:04:36.032560,0 days 00:00:08.562553,zero,auto,4,,ridge,none,3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL
3,,2026-04-21 11:04:27.723490,2026-04-21 11:04:37.097836,0 days 00:00:09.374346,zero,auto,4,0.29717233967224677,elasticnet,none,3,100,Backtester returned empty DataFrame,mixed_frequency,zero,auto,QE,,,MIDAS,,145.0,,,4.0,,,,,elasticnet,"{""l1_ratio"": 0.29717233967224677}",,0.0,123.0,none,{},failed,3.0,100.0,expanding,PRUNED
4,,2026-04-21 11:04:33.292018,2026-04-21 11:04:42.290954,0 days 00:00:08.998936,zero,auto,11,,lasso,none,3,60,Backtester returned empty DataFrame,mixed_frequency,zero,auto,QE,,,MIDAS,,145.0,,,11.0,,,,,lasso,{},,0.0,123.0,none,{},failed,3.0,60.0,expanding,PRUNED
5,,2026-04-21 11:04:37.214986,2026-04-21 11:04:42.171421,0 days 00:00:04.956435,zero,auto,8,,linear,none,1,120,Backtester returned empty DataFrame,mixed_frequency,zero,auto,QE,,,MIDAS,,145.0,,,8.0,,,,,linear,{},,0.0,123.0,none,{},failed,1.0,120.0,expanding,PRUNED
6,,2026-04-21 11:04:42.050207,2026-04-21 11:04:46.973213,0 days 00:00:04.923006,zero,auto,2,,linear,none,3,60,Backtester returned empty DataFrame,mixed_frequency,zero,auto,QE,,,MIDAS,,145.0,,,2.0,,,,,linear,{},,0.0,123.0,none,{},failed,3.0,60.0,expanding,PRUNED
7,,2026-04-21 11:04:42.568050,2026-04-21 11:04:55.396501,0 days 00:00:12.828451,mean,auto,11,0.40508381143453964,elasticnet,none,1,100,Backtester returned empty DataFrame,mixed_frequency,mean,auto,QE,,,MIDAS,,145.0,,,11.0,,,,,elasticnet,"{""l1_ratio"": 0.40508381143453964}",,0.0,123.0,none,{},failed,1.0,100.0,expanding,PRUNED
8,,2026-04-21 11:04:42.953089,2026-04-21 11:04:55.395739,0 days 00:00:12.442650,zero,auto,11,,ridge,none,1,60,Backtester returned empty DataFrame,mixed_frequency,zero,auto,QE,,,MIDAS,,145.0,,,11.0,,,,,ridge,{},,0.0,123.0,none,{},failed,1.0,60.0,expanding,PRUNED
9,,2026-04-21 11:04:42.732175,2026-04-21 11:04:55.742881,0 days 00:00:13.010706,mean,auto,1,,lasso,none,3,80,Backtester returned empty DataFrame,mixed_frequency,mean,auto,QE,,,MIDAS,,145.0,,,1.0,,,,,lasso,{},,0.0,123.0,none,{},failed,3.0,80.0,expanding,PRUNED
10,,2026-04-21 11:04:55.379715,,,mean,auto,8,,ridge,none,1,120,Backtester returned empty DataFrame,mixed_frequency,mean,auto,QE,,,MIDAS,,145.0,,,8.0,,,,,ridge,{},,0.0,123.0,none,{},failed,1.0,120.0,expanding,RUNNING
11,,2026-04-21 11:04:56.038937,2026-04-21 11:05:11.392634,0 days 00:00:15.353697,ffill_then_zero,auto,11,,lasso,none,3,80,Backtester returned empty DataFrame,mixed_frequency,ffill_then_zero,auto,QE,,,MIDAS,,145.0,,,11.0,,,,,lasso,{},,0.0,123.0,none,{},failed,3.0,80.0,expanding,PRUNED
12,,2026-04-21 11:04:56.256738,2026-04-21 11:05:05.192829,0 days 00:00:08.936091,zero,auto,11,,ridge,none,1,60,Backtester returned empty DataFrame,mixed_frequency,zero,auto,QE,,,MIDAS,,145.0,,,11.0,,,,,ridge,{},,0.0,123.0,none,{},failed,1.0,60.0,expanding,PRUNED
13,,2026-04-21 11:04:56.380095,2026-04-21 11:05:11.703336,0 days 00:00:15.323241,mean,auto,4,,lasso,none,3,100,Backtester returned empty DataFrame,mixed_frequency,mean,auto,QE,,,MIDAS,,145.0,,,4.0,,,,,lasso,{},,0.0,123.0,none,{},failed,3.0,100.0,expanding,PRUNED
14,,2026-04-21 11:05:07.245856,2026-04-21 11:05:10.535980,0 days 00:00:03.290124,mean,auto,3,,linear,none,1,80,Backtester returned empty DataFrame,mixed_frequency,mean,auto,QE,,,MIDAS,,145.0,,,3.0,,,,,linear,{},,0.0,123.0,none,{},failed,1.0,80.0,expanding,PRUNED
15,,2026-04-21 11:09:25.603889,2026-04-21 11:09:28.923743,0 days 00:00:03.319854,ffill_then_zero,auto,5,0.11059099777955195,elasticnet,none,3,100,Backtester returned empty DataFrame,mixed_frequency,ffill_then_zero,auto,QE,,,MIDAS,,145.0,,,5.0,,,,,elasticnet,"{""l1_ratio"": 0.11059099777955195}",,0.0,123.0,none,{},failed,3.0,100.0,expanding,PRUNED
16,,2026-04-21 11:09:29.085100,2026-04-21 11:09:32.369187,0 days 00:00:03.284087,ffill_then_zero,auto,7,0.7437436248914133,elasticnet,none,3,120,Backtester returned empty DataFrame,mixed_frequency,ffill_then_zero,auto,QE,,,MIDAS,,145.0,,,7.0,,,,,elasticnet,"{""l1_ratio"": 0.7437436248914133}",,0.0,123.0,none,{},failed,3.0,120.0,expanding,PRUNED
17,,2026-04-21 11:09:32.496975,2026-04-21 11:09:35.703260,0 days 00:00:03.206285,ffill_then_zero,auto,5,0.28854805340351664,elasticnet,none,3,100,Backtester returned empty DataFrame,mixed_frequency,ffill_then_zero,auto,QE,,,MIDAS,,145.0,,,5.0,,,,,elasticnet,"{""l1_ratio"": 0.28854805340351664}",,0.0,123.0,none,{},failed,3.0,100.0,expanding,PRUNED
18,,2026-04-21 11:09:35.825769,2026-04-21 11:09:38.839694,0 days 00:00:03.013925,ffill_then_zero,auto,6,,lasso,none,3,60,Backtester returned empty DataFrame,mixed_frequency,ffill_then_zero,auto,QE,,,MIDAS,,145.0,,,6.0,,,,,lasso,{},,0.0,123.0,none,{},failed,3.0,60.0,expanding,PRUNED
19,,2026-04-21 11:09:38.953092,2026-04-21 11:09:42.084251,0 days 00:00:03.131159,zero,auto,8,0.6216869842146004,elasticnet,none,3,100,Backtester returned empty DataFrame,mixed_frequency,zero,auto,QE,,,MIDAS,,145.0,,,8.0,,,,,elasticnet,"{""l1_ratio"": 0.6216869842146004}",,0.0,123.0,none,{},failed,3.0,100.0,expanding,PRUNED
20,,2026-04-21 11:09:42.207484,2026-04-21 11:09:45.350326,0 days 00:00:03.142842,ffill_then_zero,auto,3,,ridge,none,3,120,Backtester returned empty DataFrame,mixed_frequency,ffill_then_zero,auto,QE,,,MIDAS,,145.0,,,3.0,,,,,ridge,{},,0.0,123.0,none,{},failed,3.0,120.0,expanding,PRUNED
21,,2026-04-21 11:09:45.578081,2026-04-21 11:09:48.847625,0 days 00:00:03.269544,zero,auto,1,0.2444633830178455,elasticnet,none,3,100,Backtester returned empty DataFrame,mixed_frequency,zero,auto,QE,,,MIDAS,,145.0,,,1.0,,,,,elasticnet,"{""l1_ratio"": 0.2444633830178455}",,0.0,123.0,none,{},failed,3.0,100.0,expanding,PRUNED
22,,2026-04-21 11:09:48.971732,2026-04-21 11:09:49.792654,0 days 00:00:00.820922,ffill_then_zero,auto,4,,lasso,none,3,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL
23,0.013370937474440186,2026-04-21 16:33:39.107143,2026-04-21 16:34:12.409697,0 days 00:00:33.302554,ffill_then_zero,auto,4,,lasso,none,3,60,,mixed_frequency,ffill_then_zero,auto,QE,0.008573629207306172,198.03838030117063,MIDAS,43.0,145.0,145.0,15.0,4.0,145.0,145.0,145.0,145.0,lasso,{},0.013370937474440186,29.69,123.0,none,{},success,3.0,60.0,expanding,COMPLETE
24,0.012604066269221021,2026-04-21 16:34:12.543168,2026-04-21 16:35:28.523714,0 days 00:01:15.980546,ffill_then_zero,auto,9,,lasso,none,3,60,,mixed_frequency,ffill_then_zero,auto,QE,0.008056633257351193,177.20227834642938,MIDAS,43.0,145.0,145.0,15.0,9.0,145.0,145.0,145.0,145.0,lasso,{},0.012604066269221021,72.47,123.0,none,{},success,3.0,60.0,expanding,COMPLETE
25,0.012604066269221021,2026-04-21 16:35:28.657092,2026-04-21 16:36:44.628637,0 days 00:01:15.971545,ffill_then_zero,auto,9,,lasso,none,3,60,,mixed_frequency,ffill_then_zero,auto,QE,0.008056633257351193,177.20227834642938,MIDAS,43.0,145.0,145.0,15.0,9.0,145.0,145.0,145.0,145.0,lasso,{},0.012604066269221021,72.35,123.0,none,{},success,3.0,60.0,expanding,COMPLETE
26,0.012604066269221021,2026-04-21 16:36:44.814566,2026-04-21 16:38:01.040645,0 days 00:01:16.226079,ffill_then_zero,auto,9,,lasso,none,3,60,,mixed_frequency,ffill_then_zero,auto,QE,0.008056633257351193,177.20227834642938,MIDAS,43.0,145.0,145.0,15.0,9.0,145.0,145.0,145.0,145.0,lasso,{},0.012604066269221021,72.62,123.0,none,{},success,3.0,60.0,expanding,COMPLETE
27,0.012604066269221021,2026-04-21 16:38:01.168483,2026-04-21 16:39:17.026254,0 days 00:01:15.857771,ffill_then_zero,auto,9,,lasso,none,3,60,,mixed_frequency,ffill_then_zero,auto,QE,0.008056633257351193,177.20227834642938,MIDAS,43.0,145.0,145.0,15.0,9.0,145.0,145.0,145.0,145.0,lasso,{},0.012604066269221021,72.34,123.0,none,{},success,3.0,60.0,expanding,COMPLETE
28,0.012604066269221021,2026-04-21 16:39:17.158568,2026-04-21 16:40:33.185341,0 days 00:01:16.026773,ffill_then_zero,auto,9,,lasso,none,3,60,,mixed_frequency,ffill_then_zero,auto,QE,0.008056633257351193,177.20227834642938,MIDAS,43.0,145.0,145.0,15.0,9.0,145.0,145.0,145.0,145.0,lasso,{},0.012604066269221021,72.5,123.0,none,{},success,3.0,60.0,expanding,COMPLETE
29,0.012604066269221021,2026-04-21 16:40:33.305238,2026-04-21 16:41:49.138469,0 days 00:01:15.833231,ffill_then_zero,auto,9,,lasso,none,3,60,,mixed_frequency,ffill_then_zero,auto,QE,0.008056633257351193,177.20227834642938,MIDAS,43.0,145.0,145.0,15.0,9.0,145.0,145.0,145.0,145.0,lasso,{},0.012604066269221021,72.33,123.0,none,{},success,3.0,60.0,expanding,COMPLETE
30,0.012349016684395068,2026-04-21 16:41:49.259552,2026-04-21 16:45:33.188877,0 days 00:03:43.929325,ffill_then_zero,auto,10,,lasso,none,1,60,,mixed_frequency,ffill_then_zero,auto,QE,0.007980656016431305,175.63451150109356,MIDAS,43.0,145.0,145.0,43.0,10.0,145.0,145.0,145.0,145.0,lasso,{},0.012349016684395068,220.38,123.0,none,{},success,1.0,60.0,expanding,COMPLETE
31,0.012349016684395068,2026-04-21 16:45:33.362317,2026-04-21 16:49:20.949330,0 days 00:03:47.587013,ffill_then_zero,auto,10,,lasso,none,1,60,,mixed_frequency,ffill_then_zero,auto,QE,0.007980656016431305,175.63451150109356,MIDAS,43.0,145.0,145.0,43.0,10.0,145.0,145.0,145.0,145.0,lasso,{},0.012349016684395068,224.06,123.0,none,{},success,1.0,60.0,expanding,COMPLETE
32,0.01233829488185179,2026-04-21 16:49:21.077673,2026-04-21 16:53:41.398488,0 days 00:04:20.320815,ffill_then_zero,auto,12,,lasso,none,1,60,,mixed_frequency,ffill_then_zero,auto,QE,0.007981638162131764,174.3558112154979,MIDAS,43.0,145.0,145.0,43.0,12.0,145.0,145.0,145.0,145.0,lasso,{},0.01233829488185179,256.74,123.0,none,{},success,1.0,60.0,expanding,COMPLETE
33,0.01233829488185179,2026-04-21 16:53:41.529176,2026-04-21 16:58:02.440064,0 days 00:04:20.910888,ffill_then_zero,auto,12,,lasso,none,1,60,,mixed_frequency,ffill_then_zero,auto,QE,0.007981638162131764,174.3558112154979,MIDAS,43.0,145.0,145.0,43.0,12.0,145.0,145.0,145.0,145.0,lasso,{},0.01233829488185179,257.4,123.0,none,{},success,1.0,60.0,expanding,COMPLETE
34,0.01233829488185179,2026-04-21 16:58:02.574314,2026-04-21 17:02:23.608747,0 days 00:04:21.034433,ffill_then_zero,auto,12,,lasso,none,1,60,,mixed_frequency,ffill_then_zero,auto,QE,0.007981638162131764,174.3558112154979,MIDAS,43.0,145.0,145.0,43.0,12.0,145.0,145.0,145.0,145.0,lasso,{},0.01233829488185179,257.43,123.0,none,{},success,1.0,60.0,expanding,COMPLETE
35,0.01233829488185179,2026-04-21 17:02:23.738336,2026-04-21 17:06:50.114367,0 days 00:04:26.376031,ffill_then_zero,auto,12,,lasso,none,1,60,,mixed_frequency,ffill_then_zero,auto,QE,0.007981638162131764,174.3558112154979,MIDAS,43.0,145.0,145.0,43.0,12.0,145.0,145.0,145.0,145.0,lasso,{},0.01233829488185179,262.83,123.0,none,{},success,1.0,60.0,expanding,COMPLETE
36,0.01233829488185179,2026-04-21 17:06:50.276207,2026-04-21 17:11:11.854767,0 days 00:04:21.578560,ffill_then_zero,auto,12,,lasso,none,1,60,,mixed_frequency,ffill_then_zero,auto,QE,0.007981638162131764,174.3558112154979,MIDAS,43.0,145.0,145.0,43.0,12.0,145.0,145.0,145.0,145.0,lasso,{},0.01233829488185179,258.01,123.0,none,{},success,1.0,60.0,expanding,COMPLETE
37,0.01233829488185179,2026-04-21 17:11:11.980938,2026-04-21 17:15:32.158830,0 days 00:04:20.177892,ffill_then_zero,auto,12,,lasso,none,1,60,,mixed_frequency,ffill_then_zero,auto,QE,0.007981638162131764,174.3558112154979,MIDAS,43.0,145.0,145.0,43.0,12.0,145.0,145.0,145.0,145.0,lasso,{},0.01233829488185179,256.66,123.0,none,{},success,1.0,60.0,expanding,COMPLETE
38,,2026-04-21 17:15:32.280342,2026-04-21 17:15:35.353372,0 days 00:00:03.073030,ffill_then_zero,auto,12,,linear,none,1,120,Backtester returned empty DataFrame,mixed_frequency,ffill_then_zero,auto,QE,,,MIDAS,,145.0,,,12.0,,,,,linear,{},,0.0,123.0,none,{},failed,1.0,120.0,expanding,PRUNED
39,0.01233829488185179,2026-04-21 17:15:35.468537,2026-04-21 17:19:57.315249,0 days 00:04:21.846712,ffill_then_zero,auto,12,,lasso,none,1,60,,mixed_frequency,ffill_then_zero,auto,QE,0.007981638162131764,174.3558112154979,MIDAS,43.0,145.0,145.0,43.0,12.0,145.0,145.0,145.0,145.0,lasso,{},0.01233829488185179,258.35,123.0,none,{},success,1.0,60.0,expanding,COMPLETE
40,0.011964988333663022,2026-04-21 17:19:57.448405,2026-04-21 17:20:12.273445,0 days 00:00:14.825040,ffill_then_zero,auto,10,,ridge,none,1,60,,mixed_frequency,ffill_then_zero,auto,QE,0.007786337645464159,151.22064927413575,MIDAS,43.0,145.0,145.0,43.0,10.0,145.0,145.0,145.0,145.0,ridge,{},0.011964988333663022,11.22,123.0,none,{},success,1.0,60.0,expanding,COMPLETE
41,0.015087607795210026,2026-04-21 17:20:12.464635,2026-04-21 17:21:10.362230,0 days 00:00:57.897595,mean,auto,10,,ridge,none,1,80,,mixed_frequency,mean,auto,QE,0.010031822905041699,102.28824308871671,MIDAS,23.0,145.0,145.0,23.0,10.0,145.0,145.0,145.0,145.0,ridge,{},0.015087607795210026,54.35,123.0,none,{},success,1.0,80.0,expanding,COMPLETE
42,0.012043496482575727,2026-04-21 17:21:10.482395,2026-04-21 17:21:27.326732,0 days 00:00:16.844337,ffill_then_zero,auto,11,,ridge,none,1,60,,mixed_frequency,ffill_then_zero,auto,QE,0.007786163628924025,154.2269403046395,MIDAS,43.0,145.0,145.0,43.0,11.0,145.0,145.0,145.0,145.0,ridge,{},0.012043496482575727,13.36,123.0,none,{},success,1.0,60.0,expanding,COMPLETE
43,0.011964988333663022,2026-04-21 17:21:27.448650,2026-04-21 17:21:43.265686,0 days 00:00:15.817036,ffill_then_zero,auto,10,,ridge,none,1,60,,mixed_frequency,ffill_then_zero,auto,QE,0.007786337645464159,151.22064927413575,MIDAS,43.0,145.0,145.0,43.0,10.0,145.0,145.0,145.0,145.0,ridge,{},0.011964988333663022,12.32,123.0,none,{},success,1.0,60.0,expanding,COMPLETE
44,,2026-04-21 17:21:43.391339,2026-04-21 17:21:46.465561,0 days 00:00:03.074222,mean,auto,10,,ridge,none,1,120,Backtester returned empty DataFrame,mixed_frequency,mean,auto,QE,,,MIDAS,,145.0,,,10.0,,,,,ridge,{},,0.0,123.0,none,{},failed,1.0,120.0,expanding,PRUNED
45,0.012043496482575727,2026-04-21 17:21:46.575176,2026-04-21 17:22:03.319533,0 days 00:00:16.744357,ffill_then_zero,auto,11,,ridge,none,1,60,,mixed_frequency,ffill_then_zero,auto,QE,0.007786163628924025,154.2269403046395,MIDAS,43.0,145.0,145.0,43.0,11.0,145.0,145.0,145.0,145.0,ridge,{},0.012043496482575727,13.17,123.0,none,{},success,1.0,60.0,expanding,COMPLETE
46,0.012043496482575727,2026-04-21 17:22:03.475220,2026-04-21 17:22:20.050649,0 days 00:00:16.575429,ffill_then_zero,auto,11,,ridge,none,1,60,,mixed_frequency,ffill_then_zero,auto,QE,0.007786163628924025,154.2269403046395,MIDAS,43.0,145.0,145.0,43.0,11.0,145.0,145.0,145.0,145.0,ridge,{},0.012043496482575727,13.08,123.0,none,{},success,1.0,60.0,expanding,COMPLETE
47,0.012043496482575727,2026-04-21 17:22:20.178302,2026-04-21 17:22:36.796554,0 days 00:00:16.618252,ffill_then_zero,auto,11,,ridge,none,1,60,,mixed_frequency,ffill_then_zero,auto,QE,0.007786163628924025,154.2269403046395,MIDAS,43.0,145.0,145.0,43.0,11.0,145.0,145.0,145.0,145.0,ridge,{},0.012043496482575727,13.11,123.0,none,{},success,1.0,60.0,expanding,COMPLETE
48,0.01521241197128263,2026-04-21 17:22:36.914719,2026-04-21 17:22:45.997819,0 days 00:00:09.083100,zero,auto,8,,ridge,none,1,80,,mixed_frequency,zero,auto,QE,0.009989500894268019,105.15547010425715,MIDAS,23.0,145.0,145.0,23.0,8.0,145.0,145.0,145.0,145.0,ridge,{},0.01521241197128263,5.62,123.0,none,{},success,1.0,80.0,expanding,COMPLETE
49,0.012043496482575727,2026-04-21 17:22:46.123163,2026-04-21 17:23:02.790901,0 days 00:00:16.667738,ffill_then_zero,auto,11,,ridge,none,1,60,,mixed_frequency,ffill_then_zero,auto,QE,0.007786163628924025,154.2269403046395,MIDAS,43.0,145.0,145.0,43.0,11.0,145.0,145.0,145.0,145.0,ridge,{},0.012043496482575727,13.11,123.0,none,{},success,1.0,60.0,expanding,COMPLETE
50,0.011964988333663022,2026-04-21 17:23:02.913054,2026-04-21 17:23:19.628364,0 days 00:00:16.715310,ffill_then_zero,auto,10,,ridge,none,1,60,,mixed_frequency,ffill_then_zero,auto,QE,0.007786337645464159,151.22064927413575,MIDAS,43.0,145.0,145.0,43.0,10.0,145.0,145.0,145.0,145.0,ridge,{},0.011964988333663022,12.06,123.0,none,{},success,1.0,60.0,expanding,COMPLETE
51,0.011883358267409829,2026-04-21 17:23:19.778930,2026-04-21 17:25:06.301089,0 days 00:01:46.522159,mean,auto,10,,ridge,none,1,60,,mixed_frequency,mean,auto,QE,0.007987902092045317,137.7291476317048,MIDAS,43.0,145.0,145.0,43.0,10.0,145.0,145.0,145.0,145.0,ridge,{},0.011883358267409829,103.04,123.0,none,{},success,1.0,60.0,expanding,COMPLETE
52,0.01493537167355209,2026-04-21 17:25:06.429561,2026-04-21 17:25:47.028622,0 days 00:00:40.599061,mean,auto,7,,ridge,none,1,80,,mixed_frequency,mean,auto,QE,0.009964001018975188,101.47129125436716,MIDAS,23.0,145.0,145.0,23.0,7.0,145.0,145.0,145.0,145.0,ridge,{},0.01493537167355209,37.16,123.0,none,{},success,1.0,80.0,expanding,COMPLETE
53,0.011883358267409829,2026-04-21 17:25:47.154621,2026-04-21 17:27:33.997414,0 days 00:01:46.842793,mean,auto,10,,ridge,none,1,60,,mixed_frequency,mean,auto,QE,0.007987902092045317,137.7291476317048,MIDAS,43.0,145.0,145.0,43.0,10.0,145.0,145.0,145.0,145.0,ridge,{},0.011883358267409829,103.31,123.0,none,{},success,1.0,60.0,expanding,COMPLETE
54,,2026-04-21 17:27:34.124065,2026-04-21 17:27:37.169246,0 days 00:00:03.045181,mean,auto,8,,ridge,none,1,120,Backtester returned empty DataFrame,mixed_frequency,mean,auto,QE,,,MIDAS,,145.0,,,8.0,,,,,ridge,{},,0.0,123.0,none,{},failed,1.0,120.0,expanding,PRUNED
55,0.011883358267409829,2026-04-21 17:27:37.279758,2026-04-21 17:29:24.322529,0 days 00:01:47.042771,mean,auto,10,,ridge,none,1,60,,mixed_frequency,mean,auto,QE,0.007987902092045317,137.7291476317048,MIDAS,43.0,145.0,145.0,43.0,10.0,145.0,145.0,145.0,145.0,ridge,{},0.011883358267409829,103.42,123.0,none,{},success,1.0,60.0,expanding,COMPLETE
56,0.011883358267409829,2026-04-21 17:29:24.485290,2026-04-21 17:31:08.437633,0 days 00:01:43.952343,mean,auto,10,,ridge,none,1,60,,mixed_frequency,mean,auto,QE,0.007987902092045317,137.7291476317048,MIDAS,43.0,145.0,145.0,43.0,10.0,145.0,145.0,145.0,145.0,ridge,{},0.011883358267409829,100.44,123.0,none,{},success,1.0,60.0,expanding,COMPLETE
57,0.011883358267409829,2026-04-21 17:31:08.564063,2026-04-21 17:32:54.934981,0 days 00:01:46.370918,mean,auto,10,,ridge,none,1,60,,mixed_frequency,mean,auto,QE,0.007987902092045317,137.7291476317048,MIDAS,43.0,145.0,145.0,43.0,10.0,145.0,145.0,145.0,145.0,ridge,{},0.011883358267409829,102.84,123.0,none,{},success,1.0,60.0,expanding,COMPLETE
